source,target,target_name
185,7,Universität Zürich
77,110,Meditations- und Therapiezentrum von Prof. K. Dürckheim
179,112,Die Grünen
179,113,Öko-Institut
186,115,Istituto Nazionale di Geofisica (ING)
187,115,Istituto Nazionale di Geofisica (ING)
96,1,ETH Zürich
96,68,C. G. Jung Institut
190,69,F. Hoffmann-La-Roche & Co. Ag
176,26,Departement Umweltnaturwissenschaften der ETH Zürich
176,62,Das Forschungs- und Ausbildungszentrum für Tiefenpsychologie nach C.G. Jung und M.-L. von Franz 
189,10,Ciba-Geigy AG
189,116,Alusuisse-Lonza Services AG
191,10,Ciba-Geigy AG
180,119,Pädagogische Hochschule Berlin
180,120,TU Berlin
184,1,ETH Zürich
182,35,Mind and Life Institute
192,17,Universität Basel
192,10,Ciba-Geigy AG
192,10,Ciba-Geigy AG
175,124,The Natural Step
175,123,Karolinske Institut
150,10,Ciba-Geigy AG
194,126,Wiener Musikhochschule
194,125,Wien Barock
297,74,Schweizerisches Zentrum für Computermusik (SZCM)
297,127, Groupe de Recherches Musicales (GRM)
297,128,Institut de recherche et coordination acoustique/musique (IRCAM)
128,129,EPFL
299,130,Boston University
81,20,Zoologisches Museum der Universität Zürich
300,10,Ciba-Geigy AG
313,69,F. Hoffmann-La-Roche & Co. Ag
313,69,F. Hoffmann-La-Roche & Co. Ag
313,69,F. Hoffmann-La-Roche & Co. Ag
313,69,F. Hoffmann-La-Roche & Co. Ag
303,69,F. Hoffmann-La-Roche & Co. Ag
303,69,F. Hoffmann-La-Roche & Co. Ag
303,69,F. Hoffmann-La-Roche & Co. Ag
298,69,F. Hoffmann-La-Roche & Co. Ag
301,132,Verein gegen Tierfabriken Schweiz
301,133,Verein gegen Tierfabriken Österreich
301,134,Nationale Aktion gegn die Überfremdung von Volk und Heimat
51,135,The Human Farming Association
304,1,ETH Zürich
305,138,Universität Bari
305,139,Unione Scienziati per il Disarmo
305,140,Interdepartmental Reesarch on Peace Center of Bari
318,143,Brandeis Universität
318,142,UNESCO
318,144,Hochschulbeirat der Vereinten Nationen
307,10,Ciba-Geigy AG
307,17,Universität Basel
307,1,ETH Zürich
308,146,Yale University
308,147,Stanford Research Institute
308,148,Global Business Network (GBN)
308,45,Esalen Institut
98,148,Global Business Network (GBN)
309,149,Internationale Gesellschaft für Tiefenpsychologie
309,150,Müncher Arbeitsgemeinschaft für Psychoanalyse
309,68,C. G. Jung Institut
310,151,Union Theological Seminary New York
322,153,Universität Neuenburg
322,24,Universität Genf
324,61,Universität Bern
324,154,Universität Mainz
324,155,Universität Bielefeld
326,1,ETH Zürich
326,1,ETH Zürich
326,156,Nationale Forschungsprogramm der Schweiz für Künstliche Intelligenz und Robotik
325,157,Eidgenössisches Department für Auwärtiges
325,158,Schweizerisch Staatliche Entwicklungshilfe
325,159,International Center for Integrated Mountain Development (ICIMOD)
325,1,ETH Zürich
327,160,Nationala Autonomous University of Mexico
330,161,IBM Research Laboratory
330,7,Universität Zürich
331,162,OHO
331,163,Sempas-Familie
332,108,Max-Planck-Institut für Phyik
332,165,Universität Turin
332,166,Europäisches Parlament
332,167,Comitato Italiano per il Controllo delle Affermazioni sulle Pseudoscienze (CICAP)
