Id,Label,name,gender,birth_date,attribute,at_cortona,cortona,[z],modularity_class,X,Y,Size,Color
81,,Cornelia Hesse-Honegger,w,1944,person,yes,no,2,88,-230.901779,182.653976,10,"#00d8ff"
82,,Albert Hofmann,m,1906,person,yes,no,2,106,-4.871377,-58.479073,10,"#ff7cff"
83,,Roberto Laneri,m,1945,person,yes,no,2,137,-142.235886,72.384636,10,"#37d911"
84,,Ulrich Müller-Herold,m,1943,person,yes,no,2,61,119.234619,-55.740433,10,"#ff7f1a"
85,,Gerhard Resch,m,1937,person,yes,no,2,33,118.84243,114.947212,10,"#c5ae00"
86,,Isabella Stieger,w,,person,yes,no,2,54,-536.125122,-756.683777,10,"#c0c0c0"
87,,William Irwin Thompson,m,1938,person,yes,no,2,88,-203.823639,145.974731,10,"#00d8ff"
88,,Corina Curschellas,w,1956,person,yes,no,2,55,-532.004272,1472.696655,10,"#c0c0c0"
89,,Loreli Fischer-Knuth,w,1938,person,yes,no,2,56,607.942871,-1062.803955,10,"#c0c0c0"
90,,Pit Gutmann,m,1954,person,yes,no,2,57,-4.159754,-257.863495,10,"#c0c0c0"
91,,Marie-Luce Gonseth,w,,person,yes,no,2,106,196.407257,-174.929398,10,"#ff7cff"
92,,Jörg Müller,m,,person,yes,no,2,58,-771.016052,962.180786,10,"#c0c0c0"
93,,Eduard Freitag,,,person,yes,no,2,59,-987.320068,-562.088013,10,"#c0c0c0"
94,,Roland Ris,m,1939,person,yes,no,2,60,87.791718,-216.956467,10,"#00cca6"
95,,Christian Thomas,m,1948,person,yes,no,2,61,16.164248,-101.373268,10,"#ff7f1a"
96,,Hans Primas,m,1928,person,yes,no,2,61,149.176514,-55.023285,10,"#ff7f1a"
97,,Walter Schneider,m,1928,person,yes,no,2,61,130.439285,-102.196663,10,"#ff7f1a"
98,,Mary Catherine Bateson,w,1939,person,yes,no,2,88,-180.088394,179.635239,10,"#00d8ff"
99,,Georges Enderle,m,1943,person,yes,no,2,94,310.898865,-229.982437,10,"#854e1e"
100,,Renate Schlüssel,w,,person,yes,no,2,62,-582.600342,1080.340454,10,"#c0c0c0"
101,,Thomas Matus,m,1940,person,yes,no,2,33,-62.197006,236.340576,10,"#c5ae00"
102,,Leonor Varela,w,1947,person,yes,no,2,88,-199.750214,39.092182,10,"#00d8ff"
103,,Hans Weber,m,1937,person,yes,no,2,106,130.164215,-151.860443,10,"#ff7cff"
104,,D. Fölsch,,,person,yes,no,2,63,575.445312,1114.703247,10,"#c0c0c0"
105,,Otto Schärli,m,1930,person,yes,no,2,61,83.443298,-115.556122,10,"#ff7f1a"
106,,Martin Henglein,m,1953,person,yes,no,2,64,626.927429,1015.640564,10,"#c0c0c0"
107,,Ursula Zwahlen,w,,person,yes,no,2,65,-605.386475,971.055786,10,"#c0c0c0"
108,,Marianne Parmiggiani,w,,person,yes,no,2,66,-606.139648,-1029.270996,10,"#c0c0c0"
109,,August E. Hohler,m,1925,person,yes,no,2,106,177.210724,-161.423935,10,"#ff7cff"
110,,Lizelle Reymond,w,1899,person,yes,no,2,67,579.139221,-1128.83313,10,"#c0c0c0"
111,,Elisabeth Blum,w,1952,person,yes,no,2,61,39.485184,-67.531952,10,"#ff7f1a"
112,,Bernhard Strecker,m,1940,person,yes,no,2,68,-10.906511,-1139.52356,10,"#c0c0c0"
113,,Ernest Rosenberg,,,person,yes,no,2,69,119.485008,1169.133057,10,"#c0c0c0"
114,,Peter Bumbacher,,,person,yes,no,2,70,45.493237,1117.171997,10,"#c0c0c0"
115,,Peter Binz,,,person,yes,no,2,71,-767.447571,1034.634277,10,"#c0c0c0"
116,,C. Eugster,,,person,yes,no,2,72,665.650085,-1075.94458,10,"#c0c0c0"
117,,R. Frei,,,person,yes,no,2,73,-1195.378418,-410.019592,10,"#c0c0c0"
118,,Eva Wertenschlag,w,1950,person,yes,no,2,61,182.237701,-71.207008,10,"#ff7f1a"
119,,Guy Poupart,m,,person,yes,no,2,61,63.69598,-53.13377,10,"#ff7f1a"
120,,G. Goerges,,,person,yes,no,2,74,851.109802,896.815796,10,"#c0c0c0"
121,,Gina Schibler,w,1956,person,yes,no,2,75,529.093201,1404.37854,10,"#c0c0c0"
122,,Jan Olof Stenflo,m,1942,person,yes,no,2,61,64.30619,-148.756302,10,"#ff7f1a"
123,,Branco Weiss,m,1929,person,yes,no,2,88,-156.71994,25.14612,10,"#00d8ff"
124,,W. Mahler,,,person,yes,no,2,76,1112.473633,230.965683,10,"#c0c0c0"
125,,Alfons Schilling,,,person,yes,no,2,77,1188.49585,403.041748,10,"#c0c0c0"
126,,Tonino Zellweger,m,1942,person,yes,no,2,61,62.245823,-122.894081,10,"#ff7f1a"
127,,Bruno Spoerri,m,1935,person,yes,no,2,78,-1073.214233,-913.497009,10,"#814172"
128,,Nold Egenter,m,1938,person,yes,no,2,134,21.989761,-50.067863,10,"#187122"
129,,Mariann M. Hamel,w,1937,person,yes,no,2,61,156.600006,-146.57402,10,"#ff7f1a"
130,,Geshe Geduen Sangpo,m,1917,person,yes,no,2,79,772.236267,1341.733398,10,"#c0c0c0"
131,,Ursula Rathgeb,w,,person,yes,no,2,80,1168.845093,-414.238373,10,"#c0c0c0"
132,,Agatha Wydler,w,1945,person,yes,no,2,18,204.595901,-52.885784,10,"#fab1b7"
133,,Samy Frenk,m,1934,person,yes,no,2,88,-278.035828,126.292221,10,"#00d8ff"
134,,Noemi Frenk,w,,person,yes,no,2,81,718.414673,1068.532104,10,"#c0c0c0"
135,,Shneior Lifson,m,1914,person,yes,no,2,82,-1444.940918,428.643127,10,"#c0c0c0"
136,,Lekshe Gyatso,,,person,yes,no,2,83,909.060059,1000.964966,10,"#c0c0c0"
137,,Riccardo Pierantoni,,,person,yes,no,2,84,-1056.312378,-321.679199,10,"#c0c0c0"
138,,Hsiao,,,person,yes,no,2,85,764.85791,-940.180115,10,"#c0c0c0"
139,,Karl Bättig,m,1926,person,yes,no,2,61,35.84404,-90.021889,10,"#ff7f1a"
140,,Peter Sitte,m,1929,person,yes,no,2,86,-773.433472,-1312.538208,10,"#c0c0c0"
141,,Peter Schudel,m,1928,person,yes,no,2,60,108.503113,-423.225616,10,"#00cca6"
142,,Paul Watzlawick,m,1921,person,yes,no,2,18,308.565277,-39.728954,10,"#fab1b7"
143,,Heinz Herzka,m,1935,person,yes,no,2,106,173.386841,-209.778809,10,"#ff7cff"
144,,Al Huang,,,person,yes,no,2,137,-125.565239,32.10704,10,"#37d911"
145,,Antonio Greco,,,person,yes,no,2,78,-1096.016235,-894.898132,10,"#814172"
146,,Jim Nollman,m,1947,person,yes,no,2,87,1429.003784,665.859924,10,"#c0c0c0"
147,,Humberto Maturana,m,1928,person,yes,no,2,88,-289.840179,102.266548,10,"#00d8ff"
148,,Hanna Lifson,,,person,yes,no,2,89,-533.168945,-1125.851562,10,"#c0c0c0"
149,,Yohikazu Ikeda,m,,person,yes,no,2,90,-304.049133,-1504.587891,10,"#c0c0c0"
150,,Paul W. Müller,m,1929,person,yes,no,2,118,17.273052,-127.805313,10,"#006c7e"
151,,Michael J. Denton,m,1943,person,yes,no,2,91,-1084.255859,-1189.159058,10,"#aad096"
152,,Elisabeth Stern,,,person,yes,no,2,92,954.305176,965.626831,10,"#c0c0c0"
153,,Theo Ginsburg,m,1926,person,yes,no,2,94,337.255798,-279.562286,10,"#854e1e"
154,,Diana Hornung,,,person,yes,no,2,93,1244.541626,-163.625397,10,"#c0c0c0"
155,,Sonja Buholzer,w,1960,person,yes,no,2,106,168.469635,-234.791428,10,"#ff7cff"
156,,Martin C. E. Huber,m,1936,person,yes,no,2,118,64.339333,-232.717239,10,"#006c7e"
157,,Hans Christoph Binswanger,m,1929,person,yes,no,2,94,235.382629,-191.583191,10,"#854e1e"
158,,Peter Walde,,,person,yes,no,2,95,1187.382935,83.780533,10,"#c0c0c0"
159,,Cecily Corti,w,1940,person,yes,no,2,124,-233.914444,1527.302734,10,"#c0c0c0"
160,,Andalo Carrega,,,person,yes,no,2,96,-1000.176392,-730.411438,10,"#c0c0c0"
161,,Katya Walter,w,1941,person,yes,no,2,18,305.59494,-12.871105,10,"#fab1b7"
162,,Helga Boedecker,w,,person,yes,no,2,123,1580.086182,-76.600693,10,"#c0c0c0"
163,,Michel Joly,m,,person,yes,no,2,97,1037.684326,639.165039,10,"#c0c0c0"
164,,Gerda Verden-Zoeller,w,,person,yes,no,2,88,-357.040527,107.964622,10,"#00d8ff"
165,,Christiane Thurn,w,1943,person,yes,no,2,118,42.238861,-216.066513,10,"#006c7e"
166,,Philip Howard,m,1933,person,yes,no,2,122,-1028.598267,1223.049438,10,"#c0c0c0"
167,,Joan Davis,w,1937,person,yes,no,2,94,338.453552,-310.745728,10,"#854e1e"
168,,Walter Petter,,,person,yes,no,2,98,1217.4375,-439.883881,10,"#c0c0c0"
169,,Marianne Heide,,,person,yes,no,2,99,-1218.806641,294.608337,10,"#c0c0c0"
170,,Beatrice Lüthi,,,person,yes,no,2,100,-630.623657,-964.4505,10,"#c0c0c0"
171,,Masaki Nakajima,m,,person,yes,no,2,125,-1495.473267,-240.039688,10,"#c0c0c0"
172,,Anthony Adams,,,person,yes,no,2,101,1146.939453,308.821106,10,"#c0c0c0"
173,,Pascale Bachmann,,,person,yes,no,2,102,-1131.992676,363.500977,10,"#c0c0c0"
174,,Esther Schreier,,,person,yes,no,2,103,810.639709,820.731079,10,"#c0c0c0"
175,,Karl-Henrik Robert,m,1947,person,yes,no,2,130,-1264.36792,1173.815674,10,"#c0c0c0"
176,,Theodor Abt,m,1947,person,yes,no,2,61,174.658829,-46.63765,10,"#ff7f1a"
177,,Paul Carter,m,,person,yes,no,2,104,1090.419067,-490.054901,10,"#c0c0c0"
178,,Richard Baker-roshi,m,1936,person,yes,no,2,137,-91.89238,181.364044,10,"#37d911"
179,,Beatrix Tappeser,w,1954,person,yes,no,2,127,40.096035,-1507.51123,10,"#c0c0c0"
180,,Christina Thürmer-Rohr,w,1936,person,yes,no,2,129,-64.437431,-273.063446,10,"#c0c0c0"
181,,Hans-Peter Dürr,m,1929,person,yes,no,2,134,77.094078,138.694077,10,"#187122"
182,,Clifford Saron,m,,person,yes,no,2,88,-261.983337,8.743196,10,"#00d8ff"
183,,Pino G. Bartalotta,m,,person,yes,no,2,105,599.705872,919.592712,10,"#c0c0c0"
184,,Dieter Steiner,m,1932,person,yes,no,2,61,118.557449,-128.980728,10,"#ff7f1a"
185,,Shizuko Ouwehand,w,1938,person,yes,no,2,106,200.403366,-205.67569,10,"#ff7cff"
186,,Patrizia Tosi,w,1964,person,yes,no,2,128,87.961868,1588.893066,10,"#c0c0c0"
187,,Valerio De Rubeis,m,1963,person,yes,no,2,128,78.324547,1616.411255,10,"#c0c0c0"
188,,Georg Thurn,m,1942,person,yes,no,2,118,43.878502,-163.644501,10,"#006c7e"
189,,Roland Förster,m,1953,person,yes,no,2,0,-29.664862,-100.642075,10,"#72adff"
190,,Martina Burchska,w,,person,yes,no,2,60,126.214035,-403.171936,10,"#00cca6"
191,,Christian Walsoe,m,1951,person,yes,no,2,118,-7.143058,-134.340759,10,"#006c7e"
192,,Hans Peter Bernhard,m,1941,person,yes,no,2,118,21.589661,-179.305206,10,"#006c7e"
193,,Hanna Johansen,w,1939,person,yes,no,2,106,213.264313,-141.018555,10,"#ff7cff"
194,,José Vazquez,m,1955,person,yes,no,2,131,1169.594116,-1011.273865,10,"#c0c0c0"
276,,Harald Atmanspacher,m,1955,person,yes,no,2,61,94.949539,46.032295,10,"#ff7f1a"
289,,Adolf Muschg,m,1934,person,yes,no,2,106,172.904236,-122.730179,10,"#ff7cff"
296,,Sergio Bellucci,,,person,yes,no,2,107,-983.923584,-931.547302,10,"#c0c0c0"
297,,Rainer Boesch,m,1938,person,yes,no,2,78,-1102.89563,-943.809326,10,"#814172"
298,,Bruno Dalle Carbona,m,1961,person,yes,no,2,60,81.673256,-296.629395,10,"#00cca6"
299,,Gail Fleischaker,w,,person,yes,no,2,0,-209.921417,-9.173128,10,"#72adff"
300,,Bilge Gülec,w,,person,yes,no,2,118,-46.749184,-196.359467,10,"#006c7e"
301,,Erwin Kessler,m,1944,person,yes,no,2,33,50.622429,76.265106,10,"#c5ae00"
302,,Heidi Kessler,w,1946,person,yes,no,2,33,64.360542,56.204956,10,"#c5ae00"
303,,Andreas Kistler,m,1943,person,yes,no,2,60,108.161125,-364.008453,10,"#00cca6"
304,,Irene Kummer,w,1944,person,yes,no,2,106,142.799789,-128.285202,10,"#ff7cff"
305,,Marco Maestro,m,1928,person,yes,no,2,0,-145.662567,-103.908638,10,"#72adff"
306,,Terence McKenna,m,1946,person,yes,no,2,137,-74.095154,96.278656,10,"#37d911"
307,,Jakob Nüesch,m,1932,person,yes,no,2,118,40.702168,-137.475922,10,"#006c7e"
308,,James A. Ogilvy,m,,person,yes,no,2,88,-121.179482,245.661362,10,"#00d8ff"
309,,Helmut Remmler,m,1928,person,yes,no,2,18,307.306732,13.731642,10,"#fab1b7"
310,,Dorothee Sölle,w,1929,person,yes,no,2,61,236.889984,-111.115913,10,"#ff7f1a"
311,,Martin Spühler,m,1943,person,yes,no,2,57,-14.698007,-289.967255,10,"#c0c0c0"
312,,Karin Stumpf,w,1967,person,yes,no,2,106,149.453049,-202.490524,10,"#ff7cff"
313,,Klaus Von Berlepsch,m,1931,person,yes,no,2,60,83.87027,-410.157928,10,"#00cca6"
315,,Fred von Allmen,m,1943,person,yes,no,2,12,1092.436523,987.383362,10,"#c0c0c0"
318,,Fatima Mernissi,w,1940,person,yes,no,2,136,481.645599,210.639908,10,"#ff5684"
320,,Catherine Chrétien,w,,person,yes,no,2,108,-885.524292,814.946777,10,"#c0c0c0"
321,,Béatrice Elsener,w,1953,person,yes,no,2,18,291.593933,-58.247936,10,"#fab1b7"
322,,Charles Enz,m,1925,person,yes,no,2,61,82.75631,-5.579419,10,"#ff7f1a"
323,,Padre Don Sante Felici,m,,person,yes,no,2,109,1288.635986,-223.860519,10,"#c0c0c0"
324,,Bettina Heintz,w,1949,person,yes,no,2,60,149.47435,-273.262726,10,"#00cca6"
325,,Rudolf Högger,m,1940,person,yes,no,2,106,119.712448,-209.86348,10,"#ff7cff"
326,,Olaf Kübler,m,1944,person,yes,no,2,61,16.947054,-153.505814,10,"#ff7f1a"
327,,Antonio Lazcano,m,1950,person,yes,no,2,0,-159.081085,-9.739528,10,"#72adff"
328,,Rainer Matschuck,m,1946,person,yes,no,2,110,247.049957,1277.123657,10,"#c0c0c0"
329,,Pamela McCorduck,w,1940,person,yes,no,2,111,-504.289886,-910.692078,10,"#c0c0c0"
330,,K. Alex Müller,m,1927,person,yes,no,2,61,109.820122,-82.996712,10,"#ff7f1a"
331,,Marco Pogacnik,m,1944,person,yes,no,2,133,225.000092,-1608.410889,10,"#c0c0c0"
332,,Tullio Regge,m,1931,person,yes,no,2,134,157.800018,222.613998,10,"#187122"
333,,Michael Vetter,m,1943,person,yes,no,2,137,-104.400215,39.438343,10,"#37d911"
334,,Marianne Zimmermann,w,1943,person,yes,no,2,135,-31.67522,-1651.744873,10,"#c0c0c0"
335,,Andre Dreiding,,,person,yes,no,2,112,992.938049,856.404602,10,"#c0c0c0"
336,,S. Ris,,,person,yes,no,2,113,930.237549,-885.315002,10,"#c0c0c0"
337,,Georg Weissmann,m,,person,yes,no,2,134,25.885824,12.655891,10,"#187122"
338,,Konrad Hungerbühler,,,person,yes,no,2,114,223.547852,1231.814697,10,"#c0c0c0"
347,,Marlis Buchmann,,,person,yes,no,2,115,-1176.84375,530.174377,10,"#c0c0c0"
348,,Kurt Osterwalder,,,person,yes,no,2,116,971.92926,-792.674988,10,"#c0c0c0"
349,,Günter Haffelder,m,1940,person,yes,no,2,138,-1410.512573,-684.88446,10,"#c0c0c0"
350,,Vidyadhar Vaidya,m,1939,person,yes,no,2,18,334.771942,-27.420813,10,"#fab1b7"
351,,Holger Morgenstern,m,1959,person,yes,no,2,137,134.940292,88.421005,10,"#37d911"
352,,John Maddox,m,1925,person,yes,no,2,91,-1120.167969,-1225.362305,10,"#aad096"
353,,Luc Steels,m,1952,person,yes,no,2,88,-344.901031,192.469086,10,"#00d8ff"
354,,Yehuda Elkana,m,1934,person,yes,no,2,136,403.793182,166.78981,10,"#ff5684"
355,,Helga Nowotny,w,1937,person,yes,no,2,106,193.995773,40.72617,10,"#ff7cff"
356,,Martin Quack,m,1948,person,yes,no,2,134,11.991246,-8.852949,10,"#187122"
357,,Otto Roessler,m,1940,person,yes,no,2,61,158.038483,41.976673,10,"#ff7f1a"
360,,Manuel Laso,m,1959,person,yes,no,2,61,41.686817,-112.152664,10,"#ff7f1a"
2001,,ETH Zürich,,,organization,,,2,61,63.529381,-89.030067,10,"#ff7f1a"
2002,,Universität Rom III,,,organization,,,2,0,-81.679863,-58.252956,10,"#72adff"
2003,,Scola Normale Superiore,,,organization,,,2,0,-102.025993,-42.765671,10,"#72adff"
2004,,IAP (Institut für Angewandte Psychologie),,,organization,,,2,18,448.810669,-39.826946,10,"#fab1b7"
2005,,Universität Köln,,,organization,,,2,61,194.443695,-97.596169,10,"#ff7f1a"
2006,,"Center for European Studies, Harvard University",,,organization,,,2,106,96.455963,-186.134995,10,"#ff7cff"
2007,,Universität Zürich,,,organization,,,2,106,151.715347,-174.46965,10,"#ff7cff"
2008,,Univerisät Wien,,,organization,,,2,33,103.490456,94.239861,10,"#c5ae00"
2009,,Fundamental Fyssiks Group,,,organization,,,2,134,3.686975,21.330278,10,"#187122"
2010,,Ciba-Geigy AG,,,organization,,,2,118,-11.443911,-161.551483,10,"#006c7e"
2011,,Auroville,,,organization,,,2,42,-1237.14856,807.430603,10,"#c0c0c0"
2012,,Johns Hopkins University,,,organization,,,2,137,-303.428619,26.051767,10,"#37d911"
2013,,"Department of History, University of Victoria",,,organization,,,2,137,-314.093567,65.113808,10,"#37d911"
2014,,University of Warwick,,,organization,,,2,117,701.511047,1145.415405,10,"#c0c0c0"
2015,,Birbeck College,,,organization,,,2,137,-32.424026,74.788597,10,"#37d911"
2016,,"University of California, Berkeley",,,organization,,,2,134,-11.611694,88.869888,10,"#187122"
2017,,Universität Basel,,,organization,,,2,118,66.104393,-179.565811,10,"#006c7e"
2018,,Lindisfarne Fellows,,,organization,,,2,88,-169.559875,154.670288,10,"#00d8ff"
2019,,World Future Society,,,organization,,,2,88,-192.348053,267.015808,10,"#00d8ff"
2020,,Zoologisches Museum der Universität Zürich,,,organization,,,2,88,-245.852097,208.847427,10,"#00d8ff"
2021,,Sandoz,,,organization,,,2,106,-29.44379,-63.293697,10,"#ff7cff"
2022,,Spiritualist Association Of Great Britain,,,organization,,,2,33,-10.816117,268.254913,10,"#c5ae00"
2023,,"University of California, San Diego",,,organization,,,2,137,-141.056427,48.698627,10,"#37d911"
2024,,Universität Genf,,,organization,,,2,137,33.496147,52.923344,10,"#37d911"
2025,,Kloster Mount Saviour,,,organization,,,2,33,-33.828659,188.452194,10,"#c5ae00"
2026,,Departement Umweltnaturwissenschaften der ETH Zürich,,,organization,,,2,61,136.690903,-77.18544,10,"#ff7f1a"
2027,,Tassajara Zen Mountain Center,,,organization,,,2,33,-16.804089,169.292938,10,"#c5ae00"
2028,,Cornell University,,,organization,,,2,88,-205.360321,190.290878,10,"#00d8ff"
2029,,MIT,,,organization,,,2,88,-288.974762,163.209946,10,"#00d8ff"
2030,,York Univerity,,,organization,,,2,119,542.005615,-1152.63855,10,"#c0c0c0"
2031,,Harvard University,,,organization,,,2,88,-251.386642,122.179214,10,"#00d8ff"
2032,,Max Planck Institute for Brain Research,,,organization,,,2,88,-215.114883,58.118275,10,"#00d8ff"
