Id,Label,name,attribute,event_id,meta_category,[z],modularity_class,X,Y,Size,Color
20183,,"Ethische Grenzen der Tier-Nutzung am Beipiel des
Schweines",workshop,6,0,1,5,-153.522018,281.858917,10,"#00bd94"
20184,,"""Ich bin die Frau, die ich bin"" - Gedanken zum Thema
Identität und Beziehung",workshop,6,0,1,5,-55.946262,262.485962,10,"#00bd94"
20185,,"Atem, Körper und Bewusstsein",workshop,6,0,1,1,92.394829,-14.739004,10,"#df89ff"
20186,,The game without borders,workshop,6,0,1,5,151.379745,255.616257,10,"#00bd94"
20187,,"""Wie bin ich gestimmt?""",workshop,6,0,1,1,135.595474,46.604721,10,"#df89ff"
20188,,"Deep other: Mind and Time, Spirit and Matter",workshop,6,0,1,1,26.389748,-14.181423,10,"#df89ff"
20189,,"""Le Khalife Amoureux""",workshop,6,0,1,5,-94.897537,293.304291,10,"#00bd94"
20190,,Masken,workshop,6,0,1,3,275.942566,166.566727,10,"#00c4ff"
20191,,"Grenzen und Begrenzungen in biologischen Systemen -
beispielhaft für uns Menschen?",workshop,6,0,1,2,-169.248932,95.972191,10,"#73c000"
20192,,Paradigm Change in the Arts and Sciences,workshop,6,0,1,6,-195.544418,135.387436,10,"#d3b3b0"
20193,,Japanische Kalligraphie: Spielen mit Pinsel und Tusche,workshop,6,0,1,0,196.844116,120.807106,10,"#ff8805"
20194,,Umdenken in der Naturwissenschaft,workshop,6,0,1,2,-109.160942,175.391159,10,"#73c000"
20195,,"Vom Fall der Grenzen, von verratenen Kindern und ratlosen Eltern",workshop,6,0,1,2,-3.315125,-27.294493,10,"#73c000"
20196,,"Menschen zwischen Liebe, Leidenschaft und Dämonie. - Musikalische und tiefenpsychologische Betrachtungen zu Mozarts ""Don Giovanni""",workshop,6,0,1,4,93.29393,208.145844,10,"#4c463e"
20197,,Das Fenster der Verwundbarkeit,workshop,6,0,1,0,-214.754059,135.696945,10,"#ff8805"
20198,,Eine Reise durch das Land der Schwingungen,workshop,6,0,1,3,250.904556,254.940353,10,"#00c4ff"
20199,,Unseren Träumen lauschen - Ihre Sprache verstehen lernen,workshop,6,0,1,1,155.575638,133.107635,10,"#df89ff"
20200,,ENT-SCHEIDENDE-FRAGEN IN DER WENDEZEIT,workshop,6,0,1,3,-13.281672,231.978104,10,"#00c4ff"
20201,,Recycling = Materialfluss ohne Grenzen?,workshop,6,0,1,0,-192.365128,89.310303,10,"#ff8805"
20202,,Der kreative Discount. Ausläufer der Selbstbedienungskunst von Cortona V - non-stop-Atelier,workshop,6,0,1,3,291.075958,197.187546,10,"#00c4ff"
20203,,"Mauern im Kopf - Fragen zur ""westlichen Identität""",workshop,6,0,1,5,-184.791718,239.64473,10,"#00bd94"
20204,,Astronomical observation,workshop,6,0,1,6,-234.014572,-5.3048,10,"#d3b3b0"
20205,,Boundary between the Seif and the Non-Seif,workshop,6,0,1,2,-226.416031,84.195061,10,"#73c000"
20206,,Selbstbewusstsein und Präsenz im persönlichen Ausdruck,workshop,6,0,1,1,143.603241,-62.030994,10,"#df89ff"
20207,,Dao Dancing,workshop,7,0,1,1,139.304169,-110.654999,10,"#df89ff"
20208,,Erleben der Farben,workshop,7,0,1,3,151.981949,211.021347,10,"#00c4ff"
20209,,"Geschichten, die heilen können.",workshop,7,0,1,0,251.778137,99.616745,10,"#ff8805"
20210,,Undoing the materialistic conception of matter,workshop,7,0,1,6,-157.710327,109.307602,10,"#d3b3b0"
20211,,Gli Etruschi,workshop,7,0,1,5,271.490479,270.671265,10,"#00bd94"
20212,,Stein - Holz - Eisen,workshop,7,0,1,3,286.972046,233.282211,10,"#00c4ff"
20213,,Künstliche Intelligenz und natürliche Welt,workshop,7,0,1,4,-48.12608,103.846069,10,"#4c463e"
20214,,Der dreistufige Tempel,workshop,7,0,1,2,-14.721637,143.799911,10,"#73c000"
20215,,"Atem, Körper und Bewusstsein",workshop,7,0,1,1,153.679794,-24.690042,10,"#df89ff"
20216,,"The Origins of Life: Myths, Facts, and the Unbidden Connections",workshop,7,0,1,2,-217.217499,238.943054,10,"#73c000"
20217,,Offenes Leseatelier,workshop,7,0,1,0,177.500122,138.512924,10,"#ff8805"
20218,,Wie bin ich gestimmt? Arbeit mit Körper und Stimme,workshop,7,0,1,1,199.067886,18.302221,10,"#df89ff"
20219,,The Goddess Reclaims Science,workshop,7,0,1,5,-136.165848,242.412018,10,"#00bd94"
20220,,Masken,workshop,7,0,1,3,309.113068,136.825562,10,"#00c4ff"
20221,,On the archetypal determination of the discovery of high-temperature superconductivity,workshop,7,0,1,6,-75.349518,-24.498861,10,"#d3b3b0"
20222,,Hochschulplanung oder die Planung des Unplanbaren,workshop,7,0,1,0,-199.317459,253.263275,10,"#ff8805"
20223,,Die wunderbare mehrdimensionale Welt,workshop,7,0,1,7,225.239044,155.612442,10,"#ff5584"
20224,,Aeneas - Vater am Ende der Zeit,workshop,7,0,1,2,-128.321579,130.944443,10,"#73c000"
20225,,Heirs of Prometheus,workshop,7,0,1,5,-146.188141,302.819489,10,"#00bd94"
20226,,Unseren Träumen lauschen - Ihre Sprache verstehen lernen,workshop,7,0,1,1,170.460617,118.557388,10,"#df89ff"
20227,,Eine Reise durch das Land der Schwingungen,workshop,7,0,1,3,203.605804,267.142303,10,"#00c4ff"
20228,,"Mythen, die unserem persönlichen Leben Sinn geben.",workshop,7,0,1,4,-12.385528,114.305931,10,"#4c463e"
20229,,Beyond Time - Creation as Seen by an Astronomer,workshop,7,0,1,7,-4.961753,-129.120331,10,"#ff5584"
20230,,Mythos Eindeutigkeit,workshop,7,0,1,5,-134.037674,265.381256,10,"#00bd94"
20231,,Die Bedeutung des Singensfür die Ganzheit des Lebens,workshop,7,0,1,4,92.457039,248.814941,10,"#4c463e"
20232,,"Meditation: Compassion and lnsight
World of Appearance -True Nature of Being",workshop,7,0,1,1,47.133972,32.421291,10,"#df89ff"
20233,,Selbstbewusstsein und Präsenz im persönlichen Ausdruck,workshop,7,0,1,1,165.757309,-10.255173,10,"#df89ff"
20234,,The Quantum Paradigm: Towards a new vision ofreality,workshop,7,0,1,6,-10.275541,53.386944,10,"#d3b3b0"
20235,,Morgensingen,workshop,7,0,1,4,145.610901,281.372772,10,"#4c463e"
20236,,Bewegung und Tanztherapie.,workshop,7,0,1,1,89.641266,27.545647,10,"#df89ff"
20237,,Berühren und Berührtwerden,workshop,8,0,1,1,97.7229,-78.378593,10,"#df89ff"
20238,,Der Pauli-Jung-Dialog und die psychophysische Wechselwirkung.,workshop,8,0,1,4,-62.543953,229.002838,10,"#4c463e"
20239,,Der Weg der Metapher,workshop,8,0,1,0,67.572113,291.810913,10,"#ff8805"
20240,,Dao Dancing II: Hardly and softly,workshop,8,0,1,1,124.889908,-122.073746,10,"#df89ff"
20241,,Are there limits to knowledge.,workshop,8,0,1,2,-147.701599,130.309357,10,"#73c000"
20242,,Wilder Frieden,workshop,8,0,1,5,59.26545,240.792892,10,"#00bd94"
20243,,Stein - Holz - Eisen,workshop,8,0,1,3,202.383514,214.210602,10,"#00c4ff"
20244,,Gehirnforschung und Heilung,workshop,8,0,1,6,-57.284611,46.511829,10,"#d3b3b0"
20245,,Ethnologie and Tradition,workshop,8,0,1,7,17.621731,-89.418083,10,"#ff5584"
20246,,Malen und Zeichnen,workshop,8,0,1,2,110.627129,163.680481,10,"#73c000"
20247,,Bilderausstellung,workshop,8,0,1,3,345.475342,237.485168,10,"#00c4ff"
20248,,"Atem, Körper und Bewusstsein",workshop,8,0,1,1,129.734055,-24.847698,10,"#df89ff"
20249,,Why science is the best way,workshop,8,0,1,6,-215.697876,192.672577,10,"#d3b3b0"
20250,,Drumming as Self-Experie11ce and Communication.,workshop,8,0,1,3,157.154388,169.125595,10,"#00c4ff"
20251,,Wie bin ich gestimmt? Erfahru11ge11 mit Stimme und Körper,workshop,8,0,1,1,212.969604,32.704777,10,"#df89ff"
20252,,Masken,workshop,8,0,1,3,278.942261,131.4823,10,"#00c4ff"
20253,,"Heilklänge, Klangvisionen",workshop,8,0,1,1,81.252167,44.346191,10,"#df89ff"
20254,,"Ritter ohne Rüstung, oder: wie Parzival lesen und schreiben lernte.",workshop,8,0,1,0,64.181572,295.704987,10,"#ff8805"
20255,,Ist ein Weg in Raum und Zeit wiederholbar und umkehrbar?- Betrachtungen aus pyhsikalisch-chemischer und molekularer Sicht,workshop,8,0,1,6,-250.2659,51.545624,10,"#d3b3b0"
20256,,Orgelkonzert in Assisi mit Werken von ]oh. Seb. Bach,workshop,8,0,1,4,127.374069,122.16674,10,"#4c463e"
20257,,"Der Weg der Individuation - dargestellt an Mozarts Oper ""Die Zauberflöte 11",workshop,8,0,1,4,83.139168,231.812576,10,"#4c463e"
20258,,Einführung in das therapeutische Imaginieren und Malen,workshop,8,0,1,3,300.143158,149.921539,10,"#00c4ff"
20259,,The Path of Chaos,workshop,8,0,1,6,-37.192547,27.601395,10,"#d3b3b0"
20260,,Psychodrama,workshop,8,0,1,3,225.134094,68.633339,10,"#00c4ff"
20261,,Eine Reise durch das Land der Schwiugmzgeu,workshop,8,0,1,3,154.069672,232.935028,10,"#00c4ff"
20262,,The selfish robot and the origins of intelligence,workshop,8,0,1,4,-169.214676,38.263111,10,"#4c463e"
20263,,Die Homöopathie als Ausdruck des Integralen Bewusstseins,workshop,8,0,1,7,-40.783573,-43.397217,10,"#ff5584"
20264,,Selbstbewusstsein und Präsenz im persö11liche11 Ausdruck,workshop,8,0,1,1,149.330978,-42.821423,10,"#df89ff"
20265,,Morgensingen,workshop,8,0,1,4,112.849609,281.62088,10,"#4c463e"
